Genre,Count
reggaeton,1
latin,1
disco,3
old school hip hop,8
g-funk,6
gangster rap,6
west coast hip hop,9
hip hop,9
rap,12
dancehall,2
emo rap,9
edm,5
new wave,3
synthpop,2
glam metal,2
soft pop,2
christian hip hop,1
hyperpop,3
norwegian pop,1
art pop,4
adult standards,2
dream pop,1
soul,1
classic soul,1
motown,1
soca,1
neo-psychedelic,6
indie,8
eurodance,4
europop,4
italo dance,1
tropical house,1
french indie pop,1
comedy,2
folk pop,3
pop country,1
indie folk,2
east coast hip hop,3
dance,3
bedroom pop,10
lo-fi,3
afrobeats,2
afrobeat,2
afro r&b,2
afropop,2
hardstyle,1
french house,5
disco house,1
pop,3
country,1
r&b,4
phonk,11
drift phonk,9
christmas,2
cloud rap,1
rage rap,2
doo-wop,1
metalcore,1
emo,2
screamo,1
rock,5
post-hardcore,1
baroque pop,1
art rock,3
egyptian pop,1
witch house,3
darkwave,3
reggae,1
electronic,2
electro,2
pop urbaine,1
french r&b,1
moroccan pop,1
dubstep,2
drumstep,2
melodic rap,4
britpop,1
shoegaze,1
classical,2
nightcore,3
dark r&b,1
future bass,1
latin hip hop,1
mexican hip hop,1
brazilian phonk,4
french rap,1
k-pop,2
latin alternative,1
freestyle,1
mandopop,1
c-pop,1
taiwanese pop,1
native american music,1
anime,2
progressive rock,1
aor,1
city pop,1
italo disco,2
synthwave,2
dark ambient,1
ambient,1
requiem,1
opera,1
classical piano,1
chamber music,1
southern rock,1
classic rock,2
slowcore,1
lo-fi indie,1
riot grrrl,1
grunge,2
glam rock,1
french pop,1
chanson,1
variété française,1
alternative rock,2
soundtrack,1
exotica,1
house,1
indie rock,1
oyun havasi,1
yacht rock,1
reggaeton mexa,1
hard rock,1
retro soul,1
trap metal,1
electroclash,1
k-rock,1
schlager,1
proto-punk,1
breakcore,1
